id,text,cluster,category
414,Now And Forever - Richard Marx,7,Soft Rock and Ballads
415,Far Behind - Candlebox,4,Alternative and Indie Playlist
416,Never Lie - Immature,3,R&B and Soul Vibes
417,Return To Innocence - Enigma,7,Dance and Electronic Hits
418,"Because The Night - 10,000 Maniacs",3,Alternative and Indie Playlist
419,This D.J. - Warren G,3,Hip-Hop and Rap Anthems
420,When Can I See You - Babyface,9,R&B and Soul Vibes
421,Can We Talk - Tevin Campbell,4,R&B and Soul Vibes
422,Indian Outlaw - Tim McGraw,8,Country Melodies
423,Mmm Mmm Mmm Mmm - Crash Test Dummies,3,Nostalgic 90s Tunes
424,Said I Loved You…But I Lied - Michael Bolton,7,Emotional and Heartfelt Songs
425,Whatta Man - Salt-n-Pepa and En Vogue,3,R&B and Soul Vibes
426,Circle Of Life - Elton John,7,Soft Rock and Ballads
427,Lucky One - Amy Grant,1,Pop and Rock Classics
428,(AT Your Best) You Are Love - Aaliyah,5,R&B and Soul Vibes
429,Amazing - Aerosmith,6,Pop and Rock Classics
430,Secret - Madonna,5,R&B and Soul Vibes
431,Wild Night - John Mellencamp featuring Me’shell Ndegeocello,7,Soft Rock and Ballads
432,Don’t Take The Girl - Tim McGraw,6,Country Melodies
433,Stay (I Missed You) - Lisa Loeb and Nine Stories,1,Alternative and Indie Playlist
434,Breathe Again - Toni Braxton,6,R&B and Soul Vibes
435,Fantastic Voyage - Coolio,9,Hip-Hop and Rap Anthems
436,I Swear - All-4-One,3,Emotional and Heartfelt Songs
437,"All For Love - Bryan Adams, Rod Stewart and Sting",6,Pop and Rock Classics
438,"Any Time, Any Place - Janet Jackson",5,R&B and Soul Vibes
439,Back & Forth - Aaliyah,1,R&B and Soul Vibes
440,Can You Feel The Love Tonight - Elton John,7,Soft Rock and Ballads
441,I’d Do Anything For Love (BUT I Wont Do That) - Meat Loaf,7,Pop and Rock Classics
442,Don’t Turn Around - Ace of Base,4,Nostalgic 90s Tunes
443,I’m Ready - Tevin Campbell,6,R&B and Soul Vibes
444,Beautiful In My Eyes - Joshua Kadison,7,Emotional and Heartfelt Songs
445,Cry For You - Jodeci,9,R&B and Soul Vibes
446,The Most Beautiful Girl In The World - Prince,1,Pop and Rock Classics
447,"What’s The Frequency, Kenneth? - R.E.M.",3,Alternative and Indie Playlist
448,Bump N’ Grind - R. Kelly,8,R&B and Soul Vibes
449,Endless Love - Luther Vandross and Mariah Carey,5,Soft Rock and Ballads
450,Flava In Ya Ear - Craig Mack,8,Hip-Hop and Rap Anthems
451,Just Kickin’ It - Xscape,4,Nostalgic 90s Tunes
452,Please Forgive Me - Bryan Adams,6,Soft Rock and Ballads
453,What’s My Name? - Snoop Doggy Dogg,2,Hip-Hop and Rap Anthems
454,Come To My Window - Melissa Etheridge,1,Pop and Rock Classics
455,Tootsee Roll - 69 Boyz,2,Hip-Hop and Rap Anthems
456,Always In My Heart - Tevin Campbell,7,Emotional and Heartfelt Songs
457,Funkdafied - Da Brat,8,Hip-Hop and Rap Anthems
458,Groove Thang - Zhané,3,R&B and Soul Vibes
459,The Way She Loves Me - Richard Marx,5,Soft Rock and Ballads
460,Anytime You Need A Friend - Mariah Carey,5,Emotional and Heartfelt Songs
461,You Mean The World To Me - Toni Braxton,5,R&B and Soul Vibes
462,Cantaloop (FLIP Fantasia) - Us3,8,Hip-Hop and Rap Anthems
463,Understanding - Xscape,3,R&B and Soul Vibes
464,I’m The Only One - Melissa Etheridge,1,Pop and Rock Classics
465,Stroke You Up - Changing Faces,3,R&B and Soul Vibes
466,Mary Jane’s Last Dance - Tom Petty and the Heartbreakers,5,Soft Rock and Ballads
467,Getto Jam - Domino,9,Hip-Hop and Rap Anthems
468,Never Keeping Secrets - Babyface,9,R&B and Soul Vibes
469,Got Me Waiting - Heavy D & the Boyz,2,R&B and Soul Vibes
470,Turn The Beat Around - Gloria Estefan,5,Dance and Electronic Hits
471,Gangsta Lean - DRS,8,Hip-Hop and Rap Anthems
472,I’ll Stand By You - Pretenders,9,Emotional and Heartfelt Songs
473,Prayer For The Dying - Seal,3,R&B and Soul Vibes
474,Because Of Love - Janet Jackson,5,Pop and Rock Classics
475,Rock And Roll Dreams Come Through - Meat Loaf,7,Pop and Rock Classics
476,Your Body’s Callin’ - R. Kelly,6,R&B and Soul Vibes
477,Without You / Never Forget You - Mariah Carey,5,Pop and Rock Classics
478,I’ll Remember - Madonna,5,Emotional and Heartfelt Songs
479,I’ll Take You There - General Public,3,Alternative and Indie Playlist
480,Someone To Love - Jon B. featuring Babyface,7,Emotional and Heartfelt Songs
481,Believe - Elton John,7,Emotional and Heartfelt Songs
482,Creep - TLC,3,R&B and Soul Vibes
483,Baby - Brandy,8,R&B and Soul Vibes
484,I Know - Dionne Farris,1,Alternative and Indie Playlist
485,Come And Get Your Love - Real McCoy,6,Dance and Electronic Hits
486,Runaway - Janet Jackson,5,Pop and Rock Classics
487,Total Eclipse Of The Heart - Nicki French,7,Pop and Rock Classics
488,Scream - Michael Jackson and Janet Jackson,5,Pop and Rock Classics
489,Carnival - Natalie Merchant,1,Alternative and Indie Playlist
490,Thank You - Boyz II Men,2,R&B and Soul Vibes
491,Fantasy - Mariah Carey,5,Pop and Rock Classics
492,December - Collective Soul,8,Alternative and Indie Playlist
493,"December, 1963 (OH, What A Night) - The Four Seasons",7,Pop and Rock Classics
494,Every Little Thing I Do - Soul for Real,6,R&B and Soul Vibes
495,I Believe - Blessid Union of Souls,8,Emotional and Heartfelt Songs
496,I Got 5 On It - Luniz,2,Hip-Hop and Rap Anthems
497,If You Love Me - Brownstone,6,R&B and Soul Vibes
498,Misery - Soul Asylum,8,Alternative and Indie Playlist
499,Take A Bow - Madonna,5,Emotional and Heartfelt Songs
500,Waterfalls - TLC,8,R&B and Soul Vibes
501,All I Wanna Do - Sheryl Crow,6,Pop and Rock Classics
502,Boombastic - Shaggy,2,Nostalgic 90s Tunes
503,Hold On - Jamie Walters,4,Emotional and Heartfelt Songs
504,Back For Good - Take That,4,Emotional and Heartfelt Songs
505,Dear Mama - 2Pac,2,Hip-Hop and Rap Anthems
506,You Gotta Be - Des’ree,4,Emotional and Heartfelt Songs
507,Have You Ever Really Loved A Woman? - Bryan Adams,1,Soft Rock and Ballads
508,Here Comes The Hotstepper - Ini Kamoze,4,Nostalgic 90s Tunes
509,I Wish - Skee-Lo,4,Nostalgic 90s Tunes
510,Candy Rain - Soul for Real,8,R&B and Soul Vibes
511,Do You Sleep? - Lisa Loeb & Nine Stories,1,Alternative and Indie Playlist
512,You Are Not Alone - Michael Jackson,5,Emotional and Heartfelt Songs
513,Feel Me Flow - Naughty by Nature,8,Hip-Hop and Rap Anthems
514,Name - Goo Goo Dolls,2,Alternative and Indie Playlist
515,This Is How We Do It - Montell Jordan,4,R&B and Soul Vibes
516,1st Of Tha Month - Bone Thugs-n-Harmony,8,Hip-Hop and Rap Anthems
517,Let Her Cry - Hootie & the Blowfish,1,Soft Rock and Ballads
518,Run-Around - Blues Traveler,0,Pop and Rock Classics
519,Another Night - Real McCoy,6,Dance and Electronic Hits
520,I Wanna Be Down - Brandy,8,R&B and Soul Vibes
521,Run Away - Real McCoy,6,Dance and Electronic Hits
522,Keep Their Heads Ringin’ - Dr. Dre,4,Hip-Hop and Rap Anthems
523,Roll To Me - Del Amitri,9,Pop and Rock Classics
524,You Don’t Know How It Feels - Tom Petty,6,Pop and Rock Classics
525,Colors Of The Wind - Vanessa Williams,1,Emotional and Heartfelt Songs
526,Hold My Hand - Hootie & the Blowfish,2,Soft Rock and Ballads
527,Strong Enough - Sheryl Crow,1,Emotional and Heartfelt Songs
528,One More Chance - The Notorious B.I.G.,3,Hip-Hop and Rap Anthems
529,Cotton Eye Joe - Rednex,0,Dance and Electronic Hits
530,This Ain’t A Love Song - Bon Jovi,9,Soft Rock and Ballads
531,Brokenhearted - Brandy featuring Wanya Morris,8,R&B and Soul Vibes
532,Shy Guy - Diana King,1,R&B and Soul Vibes
533,Freak Like Me - Adina Howard,1,R&B and Soul Vibes
534,The Rhythm Of The Night - Corona,7,Dance and Electronic Hits
535,Before I Let You Go - Blackstreet,6,R&B and Soul Vibes
536,I Can Love You Like That - All-4-One,9,Soft Rock and Ballads
537,Who Can I Run To - Xscape,3,R&B and Soul Vibes
538,100% Pure Love - Crystal Waters,1,Dance and Electronic Hits
539,Don’t Take It Personal (JUST One Of Dem Days) - Monica,1,R&B and Soul Vibes
540,On Bended Knee - Boyz II Men,4,R&B and Soul Vibes
541,Red Light Special - TLC,3,R&B and Soul Vibes
542,As I Lay Me Down - Sophie B. Hawkins,1,Emotional and Heartfelt Songs
543,How High - Redman/Method Man,3,Hip-Hop and Rap Anthems
544,I’ll Make Love To You - Boyz II Men,2,R&B and Soul Vibes
545,Ask Of You - Raphael Saadiq,3,R&B and Soul Vibes
546,"Hold Me, Thrill Me, Kiss Me, Kill Me - U2",8,Pop and Rock Classics
547,Water Runs Dry - Boyz II Men,2,R&B and Soul Vibes
548,He’s Mine - Mokenstef,9,R&B and Soul Vibes
549,I’m The Only One - Melissa Etheridge,1,Pop and Rock Classics
550,Short Dick Man - 20 Fingers featuring Gillette,2,Dance and Electronic Hits
551,Bang And Blame - R.E.M.,8,Alternative and Indie Playlist
552,Practice (WHAT You Preach) - Barry White,6,R&B and Soul Vibes
553,Sugar Hill - AZ,8,Hip-Hop and Rap Anthems
554,The Sweetest Days - Vanessa Williams,5,Soft Rock and Ballads
555,Sukiyaki - 4 P.M.,3,R&B and Soul Vibes
556,Can’t You See - Total featuring The Notorious B.I.G.,8,Hip-Hop and Rap Anthems
557,Constantly - Immature,3,R&B and Soul Vibes
558,No More I Love You’s - Annie Lennox,5,Soft Rock and Ballads
559,This Lil’ Game We Play - Subway featuring 702,4,R&B and Soul Vibes
560,Every Day Of The Week - Jade,1,Emotional and Heartfelt Songs
561,In The House Of Stone And Light - Martin Page,7,Soft Rock and Ballads
562,Player’s Anthem - Junior M.A.F.I.A. featuring The Notorious B.I.G.,2,Hip-Hop and Rap Anthems
563,Freek’n You - Jodeci,9,R&B and Soul Vibes
564,I’d Lie For You (AND That’s The Truth) - Meat Loaf,7,Soft Rock and Ballads
565,I’ll Be There For You/You’re All I Need To Get - by Method Man featuring Mary J. Blige,6,Hip-Hop and Rap Anthems
566,Nobody - Keith Sweat featuring Athena Cage,8,R&B and Soul Vibes
567,Time - Hootie & the Blowfish,2,Pop and Rock Classics
568,Hay - Crucial Conflict,3,Hip-Hop and Rap Anthems
569,Jealousy - Natalie Merchant,1,Alternative and Indie Playlist
570,Be My Lover - La Bouche,9,Dance and Electronic Hits
571,Wonder - Natalie Merchant,1,Alternative and Indie Playlist
572,1979 - The Smashing Pumpkins,8,Alternative and Indie Playlist
573,No Diggity - Blackstreet featuring Dr. Dre,8,R&B and Soul Vibes
574,Sweet Dreams - La Bouche,9,Dance and Electronic Hits
575,Wonderwall - Oasis,8,Alternative and Indie Playlist
576,Anything - 3T,3,Hip-Hop and Rap Anthems
577,Because You Loved Me - Celine Dion,5,Emotional and Heartfelt Songs
578,Ironic - Alanis Morissette,1,Alternative and Indie Playlist
579,Lady - D’Angelo,1,R&B and Soul Vibes
580,Give Me One Reason - Tracy Chapman,1,Pop and Rock Classics
581,Count On Me - Whitney Houston featuring CeCe Winans,5,R&B and Soul Vibes
582,Hey Lover - LL Cool J,9,Hip-Hop and Rap Anthems
583,Always Be My Baby - Mariah Carey,5,R&B and Soul Vibes
584,Kiss From A Rose - Seal,1,Emotional and Heartfelt Songs
585,Nobody Knows - The Tony Rich Project,0,Emotional and Heartfelt Songs
586,You’ll See - Madonna,5,Pop and Rock Classics
587,Breakfast At Tiffany’s - Deep Blue Something,7,Alternative and Indie Playlist
588,Only Wanna Be With You - Hootie & the Blowfish,9,Soft Rock and Ballads
589,Only You - 112 featuring The Notorious B.I.G. and Mase,8,Hip-Hop and Rap Anthems
590,Twisted - Keith Sweat,8,R&B and Soul Vibes
591,Hook - Blues Traveler,2,Alternative and Indie Playlist
592,Doin’ It - LL Cool J,4,Hip-Hop and Rap Anthems
593,One Sweet Day - Mariah Carey and Boyz II Men,5,R&B and Soul Vibes
594,Tha Crossroads - Bone Thugs-n-Harmony,8,Hip-Hop and Rap Anthems
595,Missing - Everything but the Girl,1,Dance and Electronic Hits
596,Beautiful Life - Ace of Base,7,Dance and Electronic Hits
597,Mouth - Merril Bainbridge,1,Alternative and Indie Playlist
598,Fastlove - George Michael,7,Pop and Rock Classics
599,If It Makes You Happy - Sheryl Crow,1,Alternative and Indie Playlist
600,Roll To Me - Del Amitri,9,Pop and Rock Classics
601,The World I Know - Collective Soul,7,Alternative and Indie Playlist
602,Jesus To A Child - George Michael,7,Emotional and Heartfelt Songs
603,Loungin - LL Cool J,9,Hip-Hop and Rap Anthems
604,Soon As I Get Home - Faith Evans,6,R&B and Soul Vibes
605,All The Things (YOUR Man Won’t Do) - Joe,6,R&B and Soul Vibes
606,Counting Blue Cars - Dishwalla,3,Alternative and Indie Playlist
607,If Your Girl Only Knew - Aaliyah,1,R&B and Soul Vibes
608,Kissin’ You - Total,9,R&B and Soul Vibes
609,Until It Sleeps - Metallica,6,Pop and Rock Classics
610,Who Will Save Your Soul - Jewel,1,Emotional and Heartfelt Songs
611,Elevators (ME & You) - Outkast,8,Hip-Hop and Rap Anthems
612,One Of Us - Joan Osborne,1,Emotional and Heartfelt Songs
613,Children - Robert Miles,7,Dance and Electronic Hits
614,Theme From Mission: Impossible - Adam Clayton and Larry Mullen,0,Dance and Electronic Hits
615,Where Do You Go - No Mercy,6,Dance and Electronic Hits
616,Diggin’ On You - TLC,4,R&B and Soul Vibes
617,Exhale (SHOOP Shoop) - Whitney Houston,5,Emotional and Heartfelt Songs
618,Gangsta’s Paradise - Coolio featuring L.V.,8,Hip-Hop and Rap Anthems
619,Sittin’ Up In My Room - Brandy,8,R&B and Soul Vibes
620,"Touch Me, Tease Me - Case featuring Foxy Brown",2,Hip-Hop and Rap Anthems
621,Insensitive - Jann Arden,3,Emotional and Heartfelt Songs
622,Po Pimp - Do or Die featuring Twista,8,Hip-Hop and Rap Anthems
623,Woo Hah!! Got You All In Check - Busta Rhymes,2,Hip-Hop and Rap Anthems
624,Hit Me Off - New Edition,4,R&B and Soul Vibes
625,Not Gon’ Cry - Mary J. Blige,5,R&B and Soul Vibes
626,You’re The One - SWV,3,R&B and Soul Vibes
627,"1, 2, 3, 4 (SUMPIN’ New) - Coolio",2,Hip-Hop and Rap Anthems
628,Free As A Bird - the Beatles,7,Pop and Rock Classics
629,Who Do U Love - Deborah Cox,1,R&B and Soul Vibes
630,Down Low (NOBODY Has To Know) - R. Kelly featuring The Isley Brothers,8,R&B and Soul Vibes
631,I Want To Come Over - Melissa Etheridge,1,Emotional and Heartfelt Songs
632,Key West Intermezzo (I Saw You First) - John Mellencamp,7,Pop and Rock Classics
633,Set U Free - Planet Soul,3,Dance and Electronic Hits
634,You Remind Me Of Something - R. Kelly,6,R&B and Soul Vibes
635,Closer To Free - BoDeans,3,Soft Rock and Ballads
636,"Keep On, Keepin’ On - MC Lyte featuring Xscape",4,Hip-Hop and Rap Anthems
637,"The Earth, The Sun, The Rain - Color Me Badd",3,R&B and Soul Vibes
638,I Can’t Sleep Baby (IF I) - R. Kelly,6,R&B and Soul Vibes
639,Let’s Make A Night To Remember - Bryan Adams,6,Soft Rock and Ballads
640,Tell Me - Groove Theory,3,R&B and Soul Vibes
641,C’mon N’ Ride It (THE Train) - Quad City DJ’s,8,Dance and Electronic Hits
642,Old Man And Me (WHEN I Get To Heaven) - Hootie & the Blowfish,7,Soft Rock and Ballads
643,Tonite’s Tha Night - Kris Kross,9,Hip-Hop and Rap Anthems
644,Someone - SWV and Puff Daddy,2,R&B and Soul Vibes
645,Nobody - Keith Sweat,6,R&B and Soul Vibes
646,Pony - Ginuwine,8,R&B and Soul Vibes
647,On & On - Erykah Badu,3,R&B and Soul Vibes
648,Last Night - Az Yet,4,Emotional and Heartfelt Songs
649,Everything - Mary J. Blige,5,R&B and Soul Vibes
650,Wannabe - Spice Girls,9,Pop and Rock Classics
651,Hypnotize - The Notorious B.I.G.,3,Hip-Hop and Rap Anthems
652,I Want You - Savage Garden,9,Pop and Rock Classics
653,Change The World - Eric Clapton,7,Soft Rock and Ballads
654,Return Of The Mack - Mark Morrison,0,Pop and Rock Classics
655,Barbie Girl - Aqua,1,Dance and Electronic Hits
656,Cupid - 112,3,Emotional and Heartfelt Songs
657,Honey - Mariah Carey,5,R&B and Soul Vibes
658,Semi-Charmed Life - Third Eye Blind,4,Alternative and Indie Playlist
659,Criminal - Fiona Apple,1,Alternative and Indie Playlist
660,What About Us - Total,3,R&B and Soul Vibes
661,Mo Money Mo Problems - The Notorious B.I.G. featuring Puff Daddy and Mase,8,Hip-Hop and Rap Anthems
662,Bitch - Meredith Brooks,1,Alternative and Indie Playlist
663,All By Myself - Celine Dion,5,Emotional and Heartfelt Songs
664,I Love You Always Forever - Donna Lewis,5,Emotional and Heartfelt Songs
665,In My Bed - Dru Hill,8,R&B and Soul Vibes
666,No Time - Lil’ Kim featuring Puff Daddy,8,Hip-Hop and Rap Anthems
667,Un-Break My Heart - Toni Braxton,5,Emotional and Heartfelt Songs
668,Your Woman - White Town,1,Alternative and Indie Playlist
669,Get It Together - 702,2,R&B and Soul Vibes
670,Mmmbop - Hanson,2,Pop and Rock Classics
671,You Make Me Wanna… - Usher,6,R&B and Soul Vibes
672,How Do I Live - LeAnn Rimes,4,Country Melodies
673,2 Become 1 - Spice Girls,3,Pop and Rock Classics
674,All For You - Sister Hazel,1,Alternative and Indie Playlist
675,Fly Like An Eagle - Seal,3,Pop and Rock Classics
676,Da’ Dip - Freak Nasty,2,Dance and Electronic Hits
677,I Shot The Sheriff - Warren G,3,Hip-Hop and Rap Anthems
678,I’ll Be - Foxy Brown featuring Jay-Z,2,Hip-Hop and Rap Anthems
679,Smile - Scarface featuring 2Pac and Johnny P.,8,Hip-Hop and Rap Anthems
680,When You Love A Woman - Journey,1,Soft Rock and Ballads
681,Secret Garden - Bruce Springsteen,7,Soft Rock and Ballads
682,I Finally Found Someone - Barbra Streisand and Bryan Adams,6,Emotional and Heartfelt Songs
683,Every Time I Close My Eyes - Babyface,9,R&B and Soul Vibes
684,Step By Step - Whitney Houston,5,R&B and Soul Vibes
685,The Freshmen - The Verve Pipe,8,Alternative and Indie Playlist
686,I Believe I Can Fly - R. Kelly,6,Emotional and Heartfelt Songs
687,Look Into My Eyes - Bone Thugs-n-Harmony,8,Hip-Hop and Rap Anthems
688,Barely Breathing - Duncan Sheik,2,Alternative and Indie Playlist
689,My Body - LSG,2,R&B and Soul Vibes
690,This Is For The Lover In You - Babyface featuring LL Cool J and Shalamar,9,R&B and Soul Vibes
691,This Is Your Night - Amber,1,Dance and Electronic Hits
692,For You I Will - Monica,1,Emotional and Heartfelt Songs
693,Quit Playing Games (WITH My Heart) - Backstreet Boys,6,Pop and Rock Classics
694,Where Do You Go - No Mercy,6,Dance and Electronic Hits
695,Sunny Came Home - Shawn Colvin,6,Soft Rock and Ballads
696,Building A Mystery - Sarah McLachlan,1,Alternative and Indie Playlist
697,C U When U Get There - Coolio featuring 40 Thevz,2,Hip-Hop and Rap Anthems
698,Everyday Is A Winding Road - Sheryl Crow,1,Alternative and Indie Playlist
699,The One I Gave My Heart To - Aaliyah,5,Emotional and Heartfelt Songs
700,Feels So Good - Mase,9,Hip-Hop and Rap Anthems
701,Butta Love - Next,9,R&B and Soul Vibes
702,Ooh Aah… Just A Little Bit - Gina G,1,Dance and Electronic Hits
703,What Kind Of Man Would I Be - Mint Condition,0,R&B and Soul Vibes
704,Cold Rock A Party - MC Lyte,8,Hip-Hop and Rap Anthems
705,I Belong To You (EVERY Time I See Your Face) - Rome,6,R&B and Soul Vibes
706,"Not Tonight - Lil’ Kim featuring Da Brat, Left Eye, Missy Elliott and Angie Martinez",8,Hip-Hop and Rap Anthems
707,Where Have All The Cowboys Gone? - Paula Cole,6,Emotional and Heartfelt Songs
708,I Believe In You And Me - Whitney Houston,5,Emotional and Heartfelt Songs
709,Gotham City - R. Kelly,8,R&B and Soul Vibes
710,4 Seasons Of Loneliness - Boyz II Men,7,R&B and Soul Vibes
711,G.H.E.T.T.O.U.T. - Changing Faces,3,R&B and Soul Vibes
712,Never Make A Promise - Dru Hill,6,R&B and Soul Vibes
713,Don’t Let Go (LOVE) - En Vogue,5,Emotional and Heartfelt Songs
714,I’m Still In Love With You - New Edition,9,R&B and Soul Vibes
715,Don’t Wanna Be A Player - Joe,0,R&B and Soul Vibes
716,Invisible Man - 98 Degrees,2,Emotional and Heartfelt Songs
717,My Love Is The Shhh! - Somethin’ for the People featuring Trina & Tamara,8,Hip-Hop and Rap Anthems
718,Do You Know (WHAT It Takes) - Robyn,1,Dance and Electronic Hits
719,Hard To Say I’m Sorry - Az Yet featuring Peter Cetera,8,Soft Rock and Ballads
720,I Miss My Homies - Master P featuring Pimp C & the Shocker,2,Hip-Hop and Rap Anthems
721,Up Jumps Da Boogie - Timbaland & Magoo featuring Missy Elliott and Aaliyah,8,Hip-Hop and Rap Anthems
722,Big Daddy - Heavy D,2,Hip-Hop and Rap Anthems
723,Say You’ll Be There - Spice Girls,4,Pop and Rock Classics
724,You Should Be Mine (DON’T Waste Your Time) - Brian McKnight featuring Mase,6,R&B and Soul Vibes
725,My Baby Daddy - B-Rock and the Bizz,8,Hip-Hop and Rap Anthems
726,Don’t Cry For Me Argentina - Madonna,5,Emotional and Heartfelt Songs
727,It’s All Coming Back To Me Now - Celine Dion,5,Emotional and Heartfelt Songs
728,I’ll Be Missing You - Puff Daddy featuring Faith Evans and 112,8,Hip-Hop and Rap Anthems
729,What’s On Tonight - Montell Jordan,9,R&B and Soul Vibes
730,Macarena (BAYSIDE Boys Mix) - Los del Río,9,Dance and Electronic Hits
731,It’s Your Love - Tim McGraw and Faith Hill,5,Country Melodies
732,Can’t Nobody Hold Me Down - Puff Daddy featuring Mase,8,Hip-Hop and Rap Anthems
733,Cruel Summer - Ace of Base,8,Nostalgic 90s Tunes
734,One Week - Barenaked Ladies,1,Alternative and Indie Playlist
735,My All - Mariah Carey,5,Emotional and Heartfelt Songs
736,The Boy Is Mine - Brandy and Monica,8,R&B and Soul Vibes
737,Father - LL Cool J,2,Hip-Hop and Rap Anthems
738,How Deep Is Your Love - Dru Hill featuring Redman,7,R&B and Soul Vibes
739,Time After Time - INOJ,4,Pop and Rock Classics
740,Bitter Sweet Symphony - The Verve,8,Alternative and Indie Playlist
741,My Way - Usher,6,R&B and Soul Vibes
742,Lookin’ At Me - Mase featuring Puff Daddy,8,Hip-Hop and Rap Anthems
743,Doo Wop (THAT Thing) - Lauryn Hill,8,R&B and Soul Vibes
744,I Want You Back - ‘N Sync,2,Pop and Rock Classics
745,Dangerous - Busta Rhymes,8,Hip-Hop and Rap Anthems
746,Say It - Voices of Theory,3,R&B and Soul Vibes
747,All My Life - K-Ci & JoJo,9,Emotional and Heartfelt Songs
748,Come With Me - Puff Daddy featuring Jimmy Page,8,Hip-Hop and Rap Anthems
749,My Heart Will Go On - Celine Dion,5,Emotional and Heartfelt Songs
750,I Don’t Want To Miss A Thing - Aerosmith,6,Soft Rock and Ballads
751,Just The Two Of Us - Will Smith,0,Hip-Hop and Rap Anthems
752,Gettin’ Jiggy Wit It - Will Smith,2,Hip-Hop and Rap Anthems
753,Show Me Love - Robyn,1,Dance and Electronic Hits
754,Stop - Spice Girls,4,Pop and Rock Classics
755,I Still Love You - Next,9,R&B and Soul Vibes
756,What You Want - Mase featuring Total,9,R&B and Soul Vibes
757,Still Not A Player - Big Pun featuring Joe,0,Hip-Hop and Rap Anthems
758,Daydreamin’ - Tatyana Ali,1,R&B and Soul Vibes
759,I Do - Lisa Loeb,1,Alternative and Indie Playlist
760,"No, No, No - Destiny’s Child",3,R&B and Soul Vibes
761,The First Night - Monica,1,R&B and Soul Vibes
762,Truly Madly Deeply - Savage Garden,7,Emotional and Heartfelt Songs
763,Frozen - Madonna,5,Pop and Rock Classics
764,Ghetto Supastar (THAT Is What You Are) - Pras Michel featuring Ol’ Dirty Bastard and Mýa,8,Hip-Hop and Rap Anthems
765,How Do I Live - LeAnn Rimes,4,Country Melodies
766,I Can Do That - Montell Jordan,4,R&B and Soul Vibes
767,Touch It - Monifah,4,R&B and Soul Vibes
768,Tubthumping - Chumbawamba,3,Alternative and Indie Playlist
769,Crush - Jennifer Paige,1,R&B and Soul Vibes
770,Feel So Good - Mase featuring Kelly Price,8,Hip-Hop and Rap Anthems
771,Never Ever - All Saints,7,Emotional and Heartfelt Songs
772,Spice Up Your Life - Spice Girls,9,Nostalgic 90s Tunes
773,Too Close - Next,4,R&B and Soul Vibes
774,I’ll Be - Edwin McCain,0,Soft Rock and Ballads
775,Too Much - Spice Girls,4,Pop and Rock Classics
776,Together Again - Janet,5,Dance and Electronic Hits
777,I Don’t Want To Wait - Paula Cole,6,Emotional and Heartfelt Songs
778,Kiss The Rain - Billie Myers,6,Emotional and Heartfelt Songs
779,Let’s Ride - Montell Jordan featuring Master P and Silkk the Shocker,2,Hip-Hop and Rap Anthems
780,The Power Of Good-Bye - Madonna,5,Pop and Rock Classics
781,Victory - Puff Daddy featuring The Notorious B.I.G. and Busta Rhymes,8,Hip-Hop and Rap Anthems
782,Ray Of Light - Madonna,5,Pop and Rock Classics
783,Everybody (BACKSTREET’S Back) - Backstreet Boys,8,Nostalgic 90s Tunes
784,Gone Till November - Wyclef Jean,2,R&B and Soul Vibes
785,My Body - LSG,2,R&B and Soul Vibes
786,Something About The Way You Look Tonight / Candle In The Wind 1997 - Elton John,7,Soft Rock and Ballads
787,Westside - TQ,4,R&B and Soul Vibes
788,I Get Lonely - Janet Jackson featuring Blackstreet,5,R&B and Soul Vibes
789,Nobody’s Supposed To Be Here - Deborah Cox,1,R&B and Soul Vibes
790,Romeo And Juliet - Sylk-E. Fyne featuring Chill,7,Hip-Hop and Rap Anthems
791,Swing My Way - K. P. & Envyi,9,R&B and Soul Vibes
792,The One I Gave My Heart To - Aaliyah,5,R&B and Soul Vibes
793,Butta Love - Next,9,R&B and Soul Vibes
794,I Will Come To You - Hanson,6,Soft Rock and Ballads
795,"Money, Power & Respect - The LOX featuring DMX and Lil’ Kim",8,Hip-Hop and Rap Anthems
796,Nobody Does It Better - Nate Dogg Featuring Warren G,8,Hip-Hop and Rap Anthems
797,I Don’t Ever Want To See You Again - Uncle Sam,6,Soft Rock and Ballads
798,My Little Secret - Xscape,2,R&B and Soul Vibes
799,A Song For Mama - Boyz II Men,2,Emotional and Heartfelt Songs
800,Turn It Up (REMIX)/FIRE It Up - Busta Rhymes,8,Hip-Hop and Rap Anthems
801,Make It Hot - Nicole featuring Missy Elliott and Mocha,8,R&B and Soul Vibes
802,When The Lights Go Out - Five,4,Nostalgic 90s Tunes
803,All Cried Out - Allure featuring 112,8,R&B and Soul Vibes
804,Friend Of Mine - Kelly Price featuring R. Kelly and Ron Isley,8,R&B and Soul Vibes
805,Still A G Thang - Snoop Dogg,3,Hip-Hop and Rap Anthems
806,Body Bumpin’ (YIPPIE-YI-YO) - Public Announcement,3,Hip-Hop and Rap Anthems
807,Deja Vu (UPTOWN Baby) - Lord Tariq and Peter Gunz,8,Hip-Hop and Rap Anthems
808,The Mummers’ Dance - Loreena McKennitt,1,Dance and Electronic Hits
809,Nice And Slow - Usher,6,R&B and Soul Vibes
810,Sex And Candy - Marcy Playground,8,Alternative and Indie Playlist
811,Looking Through Your Eyes - LeAnn Rimes,1,Emotional and Heartfelt Songs
812,You’re Still The One - Shania Twain,6,Country Melodies
813,Are You Jimmy Ray? - Jimmy Ray,0,Pop and Rock Classics
